objective,method,alpha,train_count,optimal,total,mean_gap_pct,max_gap_pct,mean_time_s,sample_sd_time_s
MeanCVaR,Root,0.02,all,0,15,7.638143066666666,12.509207,1801.5176286820001,1.2575440558957924
MeanCVaR,Root,0.02,100,0,5,5.6540482,11.772238,1800.643923352,0.36050862428979097
MeanCVaR,Root,0.02,200,0,5,7.6673384,10.100349999999999,1801.260783502,0.5906174086982645
MeanCVaR,Root,0.02,400,0,5,9.5930426,12.509207,1802.648179192,1.5562199908415761
MeanCVaR,Root,0.03,all,0,15,18.525205866666667,22.409748,1801.909003734,1.5641962948733772
MeanCVaR,Root,0.03,100,0,5,18.3590688,22.409748,1800.937192112,0.3273604387481065
MeanCVaR,Root,0.03,200,0,5,17.560497599999998,19.901204,1801.581214536,0.9913203764600539
MeanCVaR,Root,0.03,400,0,5,19.6560512,20.616288,1803.208604554,2.0118578174381017
MeanCVaR,Standard,all,all,17,45,9.37808711111111,23.217194,1207.3528666597779,840.383068810711
MeanCVaR,Standard,all,100,7,15,8.491602733333334,21.53443,1187.5233082273332,864.6108130897235
MeanCVaR,Standard,all,200,5,15,9.096029066666667,19.717044,1211.1128023773333,865.1472583074741
MeanCVaR,Standard,all,400,5,15,10.546629533333332,23.217194,1223.4224893746666,850.2225032553969
MeanCVaR,Standard,0.01,all,15,15,0.08606973333333333,0.09981600000000002,33.055540863333334,34.299145631760545
MeanCVaR,Standard,0.01,100,5,5,0.0779472,0.098961,7.76151192,4.0230454465881955
MeanCVaR,Standard,0.01,200,5,5,0.086831,0.09981600000000002,29.15145667,15.500060905011585
MeanCVaR,Standard,0.01,400,5,5,0.093431,0.09942499999999999,62.253654,44.45923532429032
MeanCVaR,Standard,0.02,all,2,15,8.334486666666667,12.956736,1786.640463016,45.856537771358546
MeanCVaR,Standard,0.02,100,2,5,5.5839456,12.167913,1753.484496448,72.72353334386297
MeanCVaR,Standard,0.02,200,0,5,8.5162262,12.942669,1802.306730138,1.2507431416392898
MeanCVaR,Standard,0.02,400,0,5,10.903288199999999,12.956736,1804.130162462,2.5101788301438424
MeanCVaR,Standard,0.03,all,0,15,19.713704933333332,23.217194,1802.3625961,1.6850807163854744
MeanCVaR,Standard,0.03,100,0,5,19.8129154,21.53443,1801.3239163140001,0.4121124275761677
MeanCVaR,Standard,0.03,200,0,5,18.68503,19.717044,1801.880220324,1.0617718159714786
MeanCVaR,Standard,0.03,400,0,5,20.6431694,23.217194,1803.8836516620001,2.027215675046895
MeanCVaR,Coverage-exp,all,all,22,45,3.464788244444444,13.211086,1051.549727279111,849.2424000594565
MeanCVaR,Coverage-exp,all,100,9,15,1.8460803333333333,6.672884,885.9008712606667,858.7184329540476
MeanCVaR,Coverage-exp,all,200,8,15,2.3953002666666667,8.182006999999999,1013.09477118,849.3977096007999
MeanCVaR,Coverage-exp,all,400,5,15,6.152984133333334,13.211086,1255.6535393966667,855.6732083635765
MeanCVaR,Coverage-exp,0.01,all,15,15,0.0542854,0.097803,46.596603871999996,45.509073770321386
MeanCVaR,Coverage-exp,0.01,100,5,5,0.039774,0.086536,14.594956183999999,13.843063495808936
MeanCVaR,Coverage-exp,0.01,200,5,5,0.0718504,0.097803,37.869872451999996,29.68478997855672
MeanCVaR,Coverage-exp,0.01,400,5,5,0.0512318,0.091252,87.32498298,52.221838535310994
MeanCVaR,Coverage-exp,0.02,all,6,15,3.154305266666667,8.18918,1318.9892444,714.0759503460371
MeanCVaR,Coverage-exp,0.02,100,3,5,1.5676896,6.672884,920.301117646,846.8787940641724
MeanCVaR,Coverage-exp,0.02,200,3,5,0.8322542,1.9896310000000001,1189.851738636,706.7122791749372
MeanCVaR,Coverage-exp,0.02,400,0,5,7.062972,8.18918,1846.814876918,15.294196812194478
MeanCVaR,Coverage-exp,0.03,all,1,15,7.185774066666666,13.211086,1789.0633335653333,114.94853260088527
MeanCVaR,Coverage-exp,0.03,100,1,5,3.9307773999999998,5.806589,1722.806539952,193.7390035120659
MeanCVaR,Coverage-exp,0.03,200,0,5,6.2817962,8.182006999999999,1811.562702452,4.703942894835763
MeanCVaR,Coverage-exp,0.03,400,0,5,11.344748599999999,13.211086,1832.820758292,13.248728451158156
MeanCVaR,Path-exp,all,all,30,45,2.1022843333333334,10.860538,813.1262193822222,824.8943978317923
MeanCVaR,Path-exp,all,100,14,15,0.2771537333333333,3.133482,449.95364116733333,620.8330085910715
MeanCVaR,Path-exp,all,200,11,15,1.0792332666666666,4.971197,769.60164084,831.1072177490895
MeanCVaR,Path-exp,all,400,5,15,4.9504660000000005,10.860538,1219.8233761393333,861.2924179342007
MeanCVaR,Path-exp,0.01,all,15,15,0.05659786666666667,0.098968,22.813688512666666,21.56950300706085
MeanCVaR,Path-exp,0.01,100,5,5,0.025685200000000002,0.098968,7.717815644,6.546838454437388
MeanCVaR,Path-exp,0.01,200,5,5,0.0617898,0.08461,17.500627456,11.01955871823294
MeanCVaR,Path-exp,0.01,400,5,5,0.0823186,0.095247,43.222622438,24.965218154929975
MeanCVaR,Path-exp,0.02,all,10,15,1.8438551333333335,7.258019,884.5151652906667,807.1369894044805
MeanCVaR,Path-exp,0.02,100,5,5,0.0992124,0.099952,308.667080658,479.80567038555046
MeanCVaR,Path-exp,0.02,200,5,5,0.0998056,0.09995500000000002,534.89286041,641.874901372789
MeanCVaR,Path-exp,0.02,400,0,5,5.3325474,7.258019,1809.985554804,3.644220337312661
MeanCVaR,Path-exp,0.03,all,5,15,4.4064,10.860538,1532.0498043433333,508.1210277377016
MeanCVaR,Path-exp,0.03,100,4,5,0.7065636,3.133482,1033.4760272,650.9380560555062
MeanCVaR,Path-exp,0.03,200,1,5,3.0761044,4.971197,1756.411434654,110.86145545356422
MeanCVaR,Path-exp,0.03,400,0,5,9.436532,10.860538,1806.2619511760001,3.3156332949079927
MeanCVaR,Combinatorial,all,all,21,45,4.243403533333334,16.290969,1182.3547151333332,800.8556150016642
MeanCVaR,Combinatorial,all,100,7,15,5.1306974,16.290969,1118.299456944,819.5724489304963
MeanCVaR,Combinatorial,all,200,9,15,2.9818364,13.887461000000002,1094.966695754,794.4665773033329
MeanCVaR,Combinatorial,all,400,5,15,4.6176768,11.477075000000001,1333.797992702,822.0131820820064
MeanCVaR,Combinatorial,0.01,all,14,15,0.9645032666666667,14.248447,243.66601787066665,443.6481562068169
MeanCVaR,Combinatorial,0.01,100,4,5,2.8496894,14.248447,395.863957876,787.8659498654392
MeanCVaR,Combinatorial,0.01,200,5,5,0.032850000000000004,0.08408600000000001,120.210683942,63.829550363100786
MeanCVaR,Combinatorial,0.01,400,5,5,0.0109704,0.040633999999999997,214.923411794,122.62330135958005
MeanCVaR,Combinatorial,0.02,all,6,15,2.9867757333333333,8.030336,1459.2015684973333,536.3092642648561
MeanCVaR,Combinatorial,0.02,100,3,5,2.2985698,6.423002,1118.067510312,650.6182587685453
MeanCVaR,Combinatorial,0.02,200,3,5,1.102328,3.04629,1377.29677707,451.58777973120317
MeanCVaR,Combinatorial,0.02,400,0,5,5.5594294,8.030336,1882.24041811,43.67684556570664
