objective,alpha,train_count,case_id,preferred_method,preferred_task_id,preferred_certified,preferred_final_gap,other_certified_methods,best_available_final_gap
Expected,0.01,400,case01,Path-exp,worker_031_task_004,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.01,400,case01,Path-exp,worker_031_task_016,True,0.00088135,Combinatorial;Coverage-exp;Root;Standard,0.0
CVaR,0.01,400,case02,Path-exp,worker_032_task_010,True,0.00095148,Combinatorial;Coverage-exp;Root;Standard,0.00013242
Expected,0.01,400,case02,Path-exp,worker_032_task_004,True,0.0,Combinatorial;Coverage-exp;Root;Standard,0.0
MeanCVaR,0.01,400,case02,Path-exp,worker_032_task_016,True,0.00071584,Combinatorial;Coverage-exp;Root;Standard,0.0
CVaR,0.01,400,case03,Path-exp,worker_033_task_010,True,0.00074943,Combinatorial;Coverage-exp;Root;Standard,0.0
Expected,0.01,400,case03,Path-exp,worker_033_task_004,True,0.00051542,Combinatorial;Coverage-exp;Root;Standard,0.0
MeanCVaR,0.01,400,case03,Path-exp,worker_033_task_016,True,0.00065159,Combinatorial;Coverage-exp;Root;Standard,0.0
CVaR,0.01,400,case04,Path-exp,worker_034_task_010,True,0.00093084,Combinatorial;Coverage-exp;Root;Standard,0.0
Expected,0.01,400,case04,Path-exp,worker_034_task_004,True,0.00060806,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.01,400,case04,Path-exp,worker_034_task_016,True,0.00091468,Combinatorial;Coverage-exp;Root;Standard,0.00040634
CVaR,0.02,100,case00,Path-exp,worker_005_task_010,True,0.00099974,Combinatorial,0.00097512
Expected,0.02,100,case00,Path-exp,worker_005_task_004,True,0.00089549,Combinatorial;Coverage-exp;Root;SAA;Standard,0.00012849
MeanCVaR,0.02,100,case00,Path-exp,worker_005_task_016,True,0.00099632,SAA,0.00097449
CVaR,0.02,100,case01,Path-exp,worker_006_task_010,True,0.00099908,Combinatorial;Coverage-exp;SAA,0.00095145
Expected,0.02,100,case01,Path-exp,worker_006_task_004,True,0.00080946,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,100,case01,Path-exp,worker_006_task_016,True,0.00099952,Combinatorial;Coverage-exp;SAA,0.00067416
CVaR,0.02,100,case02,Path-exp,worker_007_task_010,True,0.00097714,Coverage-exp,0.00097714
Expected,0.02,100,case02,Path-exp,worker_007_task_004,True,0.00091312,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,100,case02,Path-exp,worker_007_task_016,True,0.0009955,Combinatorial;Coverage-exp;SAA;Standard,0.00067408
CVaR,0.02,100,case03,Path-exp,worker_008_task_010,True,0.00095039,Combinatorial;Coverage-exp;Standard,0.00092501
Expected,0.02,100,case03,Path-exp,worker_008_task_004,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,100,case03,Path-exp,worker_008_task_016,True,0.00097238,Combinatorial;Coverage-exp;SAA;Standard,0.00078547
CVaR,0.02,100,case04,Path-exp,worker_009_task_010,False,0.05513348,,0.05513348
Expected,0.02,100,case04,Path-exp,worker_009_task_004,True,0.00027476,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,100,case04,Path-exp,worker_009_task_016,True,0.0009969,,0.0009969
CVaR,0.02,200,case00,Path-exp,worker_020_task_010,False,0.00596683,,0.00596683
Expected,0.02,200,case00,Path-exp,worker_020_task_004,True,0.00019499,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,200,case00,Path-exp,worker_020_task_016,True,0.00099549,Combinatorial;Coverage-exp;SAA,0.00064372
CVaR,0.02,200,case01,Path-exp,worker_021_task_010,True,0.00099315,,0.00099315
Expected,0.02,200,case01,Path-exp,worker_021_task_004,True,0.00099655,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,200,case01,Path-exp,worker_021_task_016,True,0.00099955,Coverage-exp,0.00099282
CVaR,0.02,200,case02,Path-exp,worker_022_task_010,True,0.00095946,Combinatorial;Coverage-exp,0.00089816
Expected,0.02,200,case02,Path-exp,worker_022_task_004,True,0.00098123,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,200,case02,Path-exp,worker_022_task_016,True,0.00099884,Combinatorial;Coverage-exp,0.00061625
CVaR,0.02,200,case03,Path-exp,worker_023_task_010,False,0.03881315,,0.03881315
Expected,0.02,200,case03,Path-exp,worker_023_task_004,True,0.00094151,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,200,case03,Path-exp,worker_023_task_016,True,0.00099812,,0.00099812
CVaR,0.02,200,case04,Path-exp,worker_024_task_010,False,0.0302633,,0.01917146
Expected,0.02,200,case04,Path-exp,worker_024_task_004,True,0.00076671,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,200,case04,Path-exp,worker_024_task_016,True,0.00099828,Combinatorial,0.00033557
CVaR,0.02,400,case00,Path-exp,worker_035_task_010,False,0.06008782,,0.05799958
Expected,0.02,400,case00,Path-exp,worker_035_task_004,True,0.00099913,Combinatorial;SAA,0.0
MeanCVaR,0.02,400,case00,Path-exp,worker_035_task_016,False,0.02910046,,0.02910046
CVaR,0.02,400,case01,Path-exp,worker_036_task_010,False,0.06908453,,0.06908453
Expected,0.02,400,case01,Path-exp,worker_036_task_004,True,0.00099991,Combinatorial;SAA,0.0
MeanCVaR,0.02,400,case01,Path-exp,worker_036_task_016,False,0.06142543,,0.06142543
CVaR,0.02,400,case02,Path-exp,worker_037_task_010,False,0.04393765,,0.03373308
Expected,0.02,400,case02,Path-exp,worker_037_task_004,True,0.00099063,Combinatorial;Coverage-exp;SAA,0.0
MeanCVaR,0.02,400,case02,Path-exp,worker_037_task_016,False,0.03915798,,0.02295522
CVaR,0.02,400,case03,Path-exp,worker_038_task_010,False,0.0823262,,0.0823262
Expected,0.02,400,case03,Path-exp,worker_038_task_004,True,0.00099504,Combinatorial;SAA,0.0
MeanCVaR,0.02,400,case03,Path-exp,worker_038_task_016,False,0.07258019,,0.07258019
CVaR,0.02,400,case04,Path-exp,worker_039_task_010,False,0.06958775,,0.05906751
Expected,0.02,400,case04,Path-exp,worker_039_task_004,True,0.0009919,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.02,400,case04,Path-exp,worker_039_task_016,False,0.06436331,,0.05465387
CVaR,0.03,100,case00,Path-exp,worker_010_task_010,False,0.0559523,,0.0559523
Expected,0.03,100,case00,Path-exp,worker_010_task_004,True,0.00085735,Coverage-exp;SAA,0.0
MeanCVaR,0.03,100,case00,Path-exp,worker_010_task_016,True,0.0009997,,0.0009997
CVaR,0.03,100,case01,Path-exp,worker_011_task_010,False,0.04427569,,0.04427569
Expected,0.03,100,case01,Path-exp,worker_011_task_004,True,0.00099354,Combinatorial;Coverage-exp;SAA,0.00062775
MeanCVaR,0.03,100,case01,Path-exp,worker_011_task_016,True,0.00099946,,0.00099946
CVaR,0.03,100,case02,Path-exp,worker_012_task_010,False,0.04756935,,0.04756935
Expected,0.03,100,case02,Path-exp,worker_012_task_004,True,0.00059769,Combinatorial;Coverage-exp;SAA,0.0
MeanCVaR,0.03,100,case02,Path-exp,worker_012_task_016,True,0.00099538,Coverage-exp;SAA,0.00022869
CVaR,0.03,100,case03,Path-exp,worker_013_task_010,False,0.03661556,,0.03661556
Expected,0.03,100,case03,Path-exp,worker_013_task_004,True,0.00053806,Combinatorial;Coverage-exp;SAA,0.0
MeanCVaR,0.03,100,case03,Path-exp,worker_013_task_016,True,0.00099882,,0.00099882
CVaR,0.03,100,case04,Path-exp,worker_014_task_010,False,0.08101653,,0.08101653
Expected,0.03,100,case04,Path-exp,worker_014_task_004,True,0.00099691,Combinatorial;Coverage-exp;SAA,0.0
MeanCVaR,0.03,100,case04,Path-exp,worker_014_task_016,False,0.03133482,,0.03133482
CVaR,0.03,200,case00,Path-exp,worker_025_task_010,False,0.05999296,,0.05999296
Expected,0.03,200,case00,Path-exp,worker_025_task_004,True,0.00099945,Combinatorial;Coverage-exp;SAA,0.00077175
MeanCVaR,0.03,200,case00,Path-exp,worker_025_task_016,False,0.0286824,,0.0256978
CVaR,0.03,200,case01,Path-exp,worker_026_task_010,False,0.06085038,,0.06085038
Expected,0.03,200,case01,Path-exp,worker_026_task_004,True,0.00099741,SAA,0.0
MeanCVaR,0.03,200,case01,Path-exp,worker_026_task_016,False,0.04527874,,0.03706122
CVaR,0.03,200,case02,Path-exp,worker_027_task_010,False,0.06843314,,0.06843314
Expected,0.03,200,case02,Path-exp,worker_027_task_004,True,0.00099515,Combinatorial;Coverage-exp;SAA,0.0
MeanCVaR,0.03,200,case02,Path-exp,worker_027_task_016,True,0.00099947,Combinatorial,0.00085231
CVaR,0.03,200,case03,Path-exp,worker_028_task_010,False,0.08032734,,0.08032734
Expected,0.03,200,case03,Path-exp,worker_028_task_004,True,0.00099933,Combinatorial;SAA,0.0
MeanCVaR,0.03,200,case03,Path-exp,worker_028_task_016,False,0.02913264,,0.02165325
CVaR,0.03,200,case04,Path-exp,worker_029_task_010,False,0.08954189,,0.07216725
Expected,0.03,200,case04,Path-exp,worker_029_task_004,False,0.00356194,Combinatorial;SAA,3.25e-06
MeanCVaR,0.03,200,case04,Path-exp,worker_029_task_016,False,0.04971197,,0.04971197
CVaR,0.03,400,case00,Path-exp,worker_040_task_010,False,0.0883589,,0.06141729
Expected,0.03,400,case00,Path-exp,worker_040_task_004,False,0.05174499,Combinatorial;SAA,0.00042916
MeanCVaR,0.03,400,case00,Path-exp,worker_040_task_016,False,0.08894099,,0.06845979
CVaR,0.03,400,case01,Path-exp,worker_041_task_010,False,0.12402051,,0.12402051
Expected,0.03,400,case01,Path-exp,worker_041_task_004,False,0.07384026,Combinatorial;SAA,0.0
MeanCVaR,0.03,400,case01,Path-exp,worker_041_task_016,False,0.10178614,,0.09505546
CVaR,0.03,400,case02,Path-exp,worker_042_task_010,False,0.06940852,,0.06940852
Expected,0.03,400,case02,Path-exp,worker_042_task_004,False,0.07515793,Combinatorial;SAA,0.0
MeanCVaR,0.03,400,case02,Path-exp,worker_042_task_016,False,0.09599741,,0.09599741
CVaR,0.03,400,case03,Path-exp,worker_043_task_010,False,0.07961074,,0.07961074
Expected,0.03,400,case03,Path-exp,worker_043_task_004,False,0.09414102,Combinatorial;SAA,0.0
MeanCVaR,0.03,400,case03,Path-exp,worker_043_task_016,False,0.07649668,,0.0729823
CVaR,0.03,400,case04,Path-exp,worker_044_task_010,False,0.1239274,,0.0906837
Expected,0.03,400,case04,Path-exp,worker_044_task_004,False,0.10779241,Combinatorial;SAA,0.0
MeanCVaR,0.03,400,case04,Path-exp,worker_044_task_016,False,0.10860538,,0.06286323
